clusterTag	clusterId	Score	Pattern
NN	1	['16.198669967716388', '16.1987']	[['NN', 'DT', 'NN']]
	2	['4.517766614985154', '4.5178']	[['NN', 'BENTITY', 'BENTITY']]
	3	['2.6616959013548196', '2.6617']	[['NN', 'BENTITY', 'BENTITY']]
	4	['2.556144314709113', '2.5562']	[['NN', 'CC', 'DT']]
	5	['1.989238769690027', '1.9893']	[['NN', 'BENTITY', 'BENTITY']]
	6	['1.7160504585683443', '1.7161']	[['NN', 'BENTITY', 'BENTITY']]
	7	['1.639637114927344', '1.6397']	[['NN', 'IN', 'DT']]
	8	['1.3269909287153552', '1.326991']	[['NN', 'BENTITY', 'BENTITY']]
	9	['1.2979592920605245', '1.29796']	[['NN', 'CC', 'DT']]
	10	['1.0875154805671368', '1.0876']	[['NN', 'CC', 'NN']]
	11	['1.0529435369909494', '1.05295']	[['NN', 'IN', 'DT']]
	12	['0.9775385190044602', '0.9776']	[['NN', 'IN', 'DT']]
	13	['0.749189540613653', '0.7492']	[['NN', 'BENTITY', 'BENTITY']]
	14	['0.6751593512868709', '0.6752']	[['NN', 'DT', 'CD']]
	15	['0.6654753787709644', '0.6655']	[['NN', 'NNS', 'TO']]
	16	['0.605097837058449', '0.6051']	[['NN', 'BENTITY', 'BENTITY']]
	17	['0.58876292511316', '0.5888']	[['NN', 'IN', 'JJ']]
	18	['0.5641585504436897', '0.5642']	[['NN', 'NN', 'CC']]
	19	['0.5608346366453812', '0.5609']	[['NN', 'CC', 'DT']]
	20	['0.5481686963615942', '0.5482']	[['NN', 'BENTITY', 'BENTITY']]
	21	['0.5372574805506889', '0.5380790140530748']	[['NN', 'CC', 'DT'], ['NN', 'IN', 'BENTITY']]
	22	['0.526519536503491', '0.5266']	[['NN', 'NN', 'TO']]
	23	['0.5127993936741363', '0.515352163736748']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'IN', 'DT']]
	24	['0.4933391004632788', '0.4934']	[['NN', 'BENTITY', 'BENTITY']]
	25	['0.486622061633544', '0.4867']	[['NN', 'CC', 'DT']]
	26	['0.45278270056082764', '0.4528']	[['NN', 'CC', 'NN']]
	27	['0.44811457377958663', '0.4482']	[['NN', 'BENTITY', 'BENTITY']]
	28	['0.44391091476985606', '0.44392']	[['NN', 'BENTITY', 'DT']]
	29	['0.4296637786347387', '0.4297']	[['NN', 'TO', 'CD']]
	30	['0.42720923285884815', '0.4273']	[['NN', 'BENTITY', 'BENTITY']]
	31	['0.40656660583468546', '0.4066']	[['NN', 'BENTITY', 'BENTITY']]
	32	['0.36585251345595626', '0.3659']	[['NN', 'CC', 'NN']]
	33	['0.3633215697499007', '0.3634']	[['NN', 'BENTITY', 'BENTITY']]
	34	['0.3509735988608855', '0.3513952977012461']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'CC', 'NN']]
	35	['0.3461867643791221', '0.3462']	[['NN', 'BENTITY', 'BENTITY']]
	36	['0.34330803231227547', '0.3434']	[['NN', 'CC', 'NN']]
	37	['0.3394490974429369', '0.3395']	[['NN', 'IN', 'DT']]
	38	['0.32555139830721175', '0.3256']	[['NN', 'IN', 'BENTITY']]
	39	['0.3193633428765116', '0.3194']	[['NN', 'BENTITY', 'BENTITY']]
	40	['0.3154030633260353', '0.3155']	[['NN', 'CC', 'DT']]
	41	['0.30949615308141815', '0.3095']	[['NN', 'IN', 'DT']]
	42	['0.3074051709031568', '0.3075']	[['NN', 'BENTITY', 'BENTITY']]
	43	['0.30240408304439137', '0.3025']	[['NN', 'CC', 'NN']]
	44	['0.2905711635329196', '0.2906']	[['NN', 'CC', 'DT']]
	45	['0.2855648850692286', '0.28596241523219945']	[['NN', 'NN', 'BENTITY'], ['NN', 'BENTITY', 'BENTITY']]
	46	['0.2803410517126078', '0.2804']	[['NN', 'NN', 'TO']]
	47	['0.27808148261447535', '0.2781']	[['NN', 'IN', 'DT']]
	48	['0.2733752965440166', '0.2734']	[['NN', 'BENTITY', 'CC']]
	49	['0.26638469126010783', '0.2664']	[['NN', 'IN', 'BENTITY']]
	50	['0.2621815749253493', '0.2622']	[['NN', 'CC', 'NN']]
	51	['0.25742833447920505', '0.2575']	[['NN', 'BENTITY', 'BENTITY']]
	52	['0.2527934261050382', '0.2528']	[['NN', 'BENTITY', 'BENTITY']]
	53	['0.23860820928566318', '0.23945623701273008']	[['NN', 'IN', 'DT'], ['NN', 'BENTITY', 'BENTITY']]
	54	['0.23535855596370572', '0.23642979549807885']	[['NN', 'IN', 'DT'], ['NN', 'IN', 'BENTITY']]
	55	['0.23188217266536745', '0.23292063158815096']	[['NN', 'IN', 'NN'], ['NN', 'CC', 'DT']]
	56	['0.22896646610885055', '0.22897']	[['NN', 'IN', 'BENTITY']]
	57	['0.22701601344807668', '0.2271261026820376']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'CC', 'DT']]
	58	['0.22509304595315688', '0.2251']	[['NN', 'BENTITY', 'BENTITY']]
	59	['0.223748715440123', '0.2238']	[['NN', 'BENTITY', 'BENTITY']]
	60	['0.2213878283338874', '0.2214']	[['NN', 'CC', 'NN']]
	61	['0.21943825040117027', '0.2195']	[['NN', 'NN', 'TO']]
	62	['0.2159444311137136', '0.21663081387831426']	[['NN', 'CC', 'NN'], ['NN', 'TO', 'CD'], ['NN', 'IN', 'DT']]
	63	['0.2136865465825734', '0.2137']	[['NN', 'CC', 'NN']]
	64	['0.212343868843445', '0.2124']	[['NN', 'IN', 'DT']]
	65	['0.2099010297572849', '0.21024388648069597']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'CD', 'IN']]
	66	['0.2091943315762127', '0.2092']	[['NN', 'BENTITY', 'BENTITY']]
	67	['0.20679709389275927', '0.20775260647974722']	[['NN', 'NN', 'NN'], ['NN', 'BENTITY', 'BENTITY']]
	68	['0.20544553580228161', '0.2060246182347348']	[['NN', 'BENTITY', 'DT'], ['NN', 'IN', 'DT'], ['NN', 'CC', 'TO']]
	69	['0.2041698147007791', '0.20452219063659205']	[['NN', 'CC', 'NN'], ['NN', 'IN', 'NN']]
	70	['0.19915897473427058', '0.19984494931313854']	[['NN', 'IN', 'DT'], ['NN', 'BENTITY', 'BENTITY']]
	71	['0.19678371055135851', '0.1968']	[['NN', 'NNS', 'DT']]
	72	['0.19114521172506707', '0.19156155877912323']	[['NN', 'IN', 'BENTITY'], ['NN', 'CC', 'DT']]
	73	['0.18788428930463166', '0.1879']	[['NN', 'IN', 'DT']]
	74	['0.18582482754961144', '0.1859']	[['NN', 'CC', 'DT']]
	75	['0.1810278510491039', '0.18162318830764182']	[['NN', 'BENTITY', 'BENTITY']]
	76	['0.17833046712559733', '0.17851254626794166']	[['NN', 'VBZ', 'DT'], ['NN', 'NN', 'IN']]
	77	['0.17642168669788216', '0.1765']	[['NN', 'IN', 'DT']]
	78	['0.17547973275562273', '0.1755']	[['NN', 'BENTITY', 'NN']]
	79	['0.17005739153903568', '0.1707618284349125']	[['NN', 'IN', 'BENTITY'], ['NN', 'TO', 'DT'], ['NN', 'IN', 'DT']]
	80	['0.1633422979694904', '0.1640005066527926']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'CC', 'DT']]
	81	['0.1619449686652872', '0.16270093297299124']	[['NN', 'CC', 'BENTITY'], ['NN', 'CC', 'NN'], ['NN', 'CC', 'DT']]
	82	['0.16049830133226786', '0.16060172278929102']	[['NN', 'NN', 'NN'], ['NN', 'NNS', 'CC']]
	83	['0.1588977212203552', '0.1589']	[['NN', 'NN', 'IN']]
	84	['0.15806079712002313', '0.1581']	[['NN', 'IN', 'DT']]
	85	['0.15726946535044023', '0.1573']	[['NN', 'TO', 'CD']]
	86	['0.15415742847629904', '0.15475435742589222']	[['NN', 'CC', 'NN'], ['NN', 'IN', 'DT']]
	87	['0.15363782209200763', '0.1537']	[['NN', 'IN', 'BENTITY']]
	88	['0.1520049645198752', '0.15215718494160946']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'CC', 'BENTITY']]
	89	['0.1509457507072928', '0.15095']	[['NN', 'CC', 'NN']]
	90	['0.14928590009213383', '0.1493']	[['NN', 'NNS', 'CC']]
	91	['0.14753933076756265', '0.1480813405959456']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'NN', 'BENTITY']]
	92	['0.14615148696008146', '0.1462']	[['NN', 'NN', 'NN']]
	93	['0.14489300107429418', '0.14526116693105734']	[['NN', 'CC', 'BENTITY'], ['NN', 'CC', 'NN']]
	94	['0.14125849943533364', '0.14182254615803958']	[['NN', 'IN', 'DT'], ['NN', 'CC', 'NN']]
	95	['0.14065862108643684', '0.14103035514426931']	[['NN', 'BENTITY', 'BENTITY'], ['NN', 'TO', 'DT']]
	96	['0.1390920558639128', '0.1391']	[['NN', 'CC', 'NN']]
	97	['0.13823606921925763', '0.1383']	[['NN', 'NN', 'NNS']]
	98	['0.13414604591024337', '0.1342']	[['NN', 'BENTITY', 'BENTITY']]
	99	['0.1327457172290834', '0.1329651291808881']	[['NN', 'NN', 'CC'], ['NN', 'IN', 'NN']]
	100	['0.13107643067457006', '0.13161475776236756']	[['NN', 'CC', 'NN'], ['NN', 'CC', 'DT']]
	101	['0.12892426319607314', '0.12893']	[['NN', 'IN', 'DT']]
	102	['0.12809249778672605', '0.1281']	[['NN', 'CC', 'NN']]
	103	['0.1273641625266724', '0.1274']	[['NN', 'BENTITY', 'BENTITY']]
	104	['0.12450329345837842', '0.1246']	[['NN', 'JJ', 'BENTITY']]
	105	['0.12365987264494016', '0.12371726628392513']	[['NN', 'IN', 'DT'], ['NN', 'IN', 'BENTITY']]
	106	['0.12300813223535297', '0.1231']	[['NN', 'BENTITY', 'BENTITY']]
	107	['0.1222158141887517', '0.1223']	[['NN', 'NN', 'CC']]
	108	['0.12131377734977322', '0.1214']	[['NN', 'IN', 'DT']]
	109	['0.11980775681364032', '0.1199']	[['NN', 'CC', 'NN']]
	110	['0.11836403070175455', '0.1184']	[['NN', 'CC', 'NN']]
	111	['0.11732794617078694', '0.1174']	[['NN', 'DT', 'NN']]
	112	['0.11639001976142434', '0.1164']	[['NN', 'NN', 'CC']]
	113	['0.11457537905109251', '0.1146846765918405']	[['NN', 'NN', 'NN'], ['NN', 'VBZ', 'DT']]
	114	['0.11346793012307144', '0.11392371572759746']	[['NN', 'CC', 'NN'], ['NN', 'CC', 'DT']]
	115	['0.11257815007213869', '0.11299255278118017']	[['NN', 'VBG', 'DT'], ['NN', 'CC', 'NN']]
	116	['0.11192529229716838', '0.11193357163262752']	[['NN', 'CC', 'DT']]
	117	['0.11035592751189408', '0.1108816470899886']	[['NN', 'NN', 'BENTITY'], ['NN', 'CC', 'NN'], ['NN', 'CC', 'DT']]
	118	['0.10979496523296395', '0.11026421202067899']	[['NN', 'NN', 'CC'], ['NN', 'IN', 'BENTITY'], ['NN', 'IN', 'DT']]
	119	['0.10875681157118416', '0.1088']	[['NN', 'VBP', 'DT']]
	120	['0.10418824212597727', '0.10449477510529073']	[['NN', 'NN', 'IN'], ['NN', 'CD', 'IN']]
	121	['0.10176378278561107', '0.10214687695795921']	[['NN', 'CC', 'NN'], ['NN', 'NN', 'NN']]
	122	['0.10085561500196771', '0.1009']	[['NN', 'NN', 'NN']]
	123	['0.09900987286151472', '0.09920814031892225']	[['NN', 'NNS', 'CC'], ['NN', 'NNS', 'BENTITY']]
	124	['0.0974392064186495', '0.0975']	[['NN', 'NN', 'NN']]
	125	['0.09618027257602325', '0.0962']	[['NN', 'BENTITY', 'CC']]
	126	['0.09509777051126367', '0.0951']	[['NN', 'NN', 'NN']]
	127	['0.0940281128001288', '0.09446624291330936']	[['NN', 'IN', 'DT'], ['NN', 'NN', 'NN']]
	128	['0.09193182419636879', '0.09194']	[['NN', 'IN', 'DT']]
	129	['0.09091655856925955', '0.09092']	[['NN', 'NN', 'CC']]
	130	['0.08911367763085125', '0.08935264378807733']	[['NN', 'BENTITY', 'TO'], ['NN', 'NN', 'NN']]
	131	['0.08837946028587372', '0.0884']	[['NN', 'NN', 'NN']]
	132	['0.08699575464727743', '0.08731823858584761']	[['NN', 'NN', 'BENTITY'], ['NN', 'JJ', 'BENTITY']]
	133	['0.08661108632001427', '0.08675282161104532']	[['NN', 'NN', 'CC'], ['NN', 'IN', 'DT']]
	134	['0.08594969540154074', '0.08595']	[['NN', 'NN', 'CC']]
	135	['0.0854725787858683', '0.0855']	[['NN', 'NN', 'CC']]
	136	['0.08471155126401259', '0.0848']	[['NN', 'IN', 'BENTITY']]
	137	['0.08376795012295475', '0.08405476696873941']	[['NN', 'IN', 'BENTITY'], ['NN', 'IN', 'DT']]
	138	['0.08252865098199534', '0.0826']	[['NN', 'CC', 'IN']]
	139	['0.08044926274125469', '0.08076748209388734']	[['NN', 'CC', 'DT'], ['NN', 'IN', 'BENTITY']]
	140	['0.07982705799475255', '0.08015025602533525']	[['NN', 'CC', 'DT'], ['NN', 'IN', 'NNS']]
	141	['0.07940069310900516', '0.07972613489555508']	[['NN', 'CC', 'DT'], ['NN', 'NN', 'BENTITY']]
	142	['0.07873516699198208', '0.07907881313021055']	[['NN', 'CC', 'DT'], ['NN', 'NN', 'IN'], ['NN', 'BENTITY', 'NNS']]
	143	['0.0772814756690363', '0.07764886135923525']	[['NN', 'IN', 'DT'], ['NN', 'IN', 'BENTITY'], ['NN', 'BENTITY', 'IN']]
	144	['0.07718207163224225', '0.0772']	[['NN', 'IN', 'BENTITY']]
	145	['0.07483374234925899', '0.0749']	[['NN', 'TO', 'CD']]
	146	['0.07377264459880846', '0.07391116167126366']	[['NN', 'NN', 'NN'], ['NN', 'IN', 'DT']]
	147	['0.07311556543229082', '0.07346891219774158']	[['NN', 'CC', 'CD'], ['NN', 'NN', 'BENTITY'], ['NN', 'IN', 'BENTITY']]
	148	['0.0728606691367077', '0.0729']	[['NN', 'NNS', 'NN']]
	149	['0.07195627790150216', '0.07196']	[['NN', 'CC', 'NN']]
	150	['0.07113113362856503', '0.07145064285289016']	[['NN', 'IN', 'DT'], ['NN', 'DT', 'JJ']]
	151	['0.06985503111356135', '0.06997601097869384']	[['NN', 'IN', 'DT'], ['NN', 'IN', 'BENTITY'], ['NN', 'JJ', 'CC']]
	152	['0.06941439540153434', '0.0695188556145923']	[['NN', 'IN', 'DT'], ['NN', 'NN', 'CC']]
	153	['0.06789765078136466', '0.0679']	[['NN', 'NN', 'NN']]
	154	['0.06741654074388145', '0.0675']	[['NN', 'NN', 'BENTITY']]
	155	['0.06670029737202182', '0.06702979236451789']	[['NN', 'IN', 'NNS'], ['NN', 'NN', 'CC']]
	156	['0.06640023380801505', '0.06664578694738633']	[['NN', 'CC', 'DT'], ['NN', 'NN', 'CC']]
